next_item,locale
B0030G0FG0,UK
B089Y246KV,UK
B08ZL8G35H,UK
B09VPPX599,UK
B09Z2V97N5,UK
B00PIQXWVK,UK
B08TC49YHW,UK
B073FG6KMC,UK
B093QHCRRP,UK
B0834J2SVR,UK
B0B1Q8DDTW,UK
B09G3D1KBL,UK
B000LNH28Y,UK
1529010705,UK
B07TCCLRND,UK
B0919P65PM,UK
B071VNZ44T,UK
B0BC8Q6J2B,UK
B002IRKE9A,UK
B07BPWH82X,UK
B08KGYRZQ7,UK
B007CVCVUM,UK
B077YSLPTX,UK
B0B45XQ6Q3,UK
B07YGMZ6NL,UK
B01CVDU1C0,UK
B08DJ8BTGF,UK
B07T8DGNT4,UK
B09MZFRJ9P,UK
B0BCQ2LL79,UK
B093BTP57Z,UK
B073XNK45P,UK
B09VXYX8NN,UK
B087VMGP5G,UK
B07YSH91XR,UK
B09TBGKYXQ,UK
B07M7L1SLN,UK
B08GKDNGQJ,UK
B00I3LUYNG,UK
B087QCX35T,UK
B00GDGSR5K,UK
B00DE6FZCK,UK
B01CZ5I1KI,UK
B00FEE1DLM,UK
B00H0CUK8I,UK
B07DX9SYMB,UK
B0152SYV40,UK
B099HL86MQ,UK
B07RDWBL37,UK
B0B71LVNQ4,UK
B07Z4GNHM9,UK
B085WYJXDY,UK
B092DB47K8,UK
B0BFP88WCV,UK
B07H51XLZQ,UK
B09NPS16MV,UK
B0B6PH4S3Z,UK
B08WZN7CPN,UK
B00TOM2SSM,UK
0008479011,UK
B09QLRWNQV,UK
B0BCSGPVM9,UK
B08P4VCNKB,UK
B008NF1YZE,UK
B09V295WNT,UK
B0839TS2VN,UK
B09X166TDM,UK
B01MZFZF1T,UK
B00AACIF0U,UK
B09BQZNGMQ,UK
B08ZDT39FG,UK
B0BKKFN52G,UK
B01N9OQOB2,UK
1338210203,UK
B0979CX3VD,UK
B00SBGBQUS,UK
B00JWTALQI,UK
B0092QK8N2,UK
B09QFSG4ZB,UK
B09TTZ7G2W,UK
B07DL7VSKP,UK
B0BD7SPMWG,UK
B098SWGV9G,UK
B0013PU09W,UK
B084W7ZVQX,UK
B0BHWC6WV6,UK
B093KVQ1HF,UK
B0026RMWJC,UK
B0B7HSKM82,UK
B0963JRBL1,UK
B0784QCQ6B,UK
B07BC8BNY5,UK
B00R6AEAT4,UK
B019W17SY8,UK
B0784NV64M,UK
B0BLHTRT5X,UK
B00VU78P5E,UK
B003672Z5W,UK
B07MJJCVVK,UK
B08NVMH86X,UK
